,internal_n,sample,species,sequenced,barcode,resequenced,rebarcode,illumina_file,nanopore_file,nanopore_file_resequenced
0,1,402738,Kleb,20180104,5,,,402738-10_S15_L001_R1_001_val_1.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC05.fastq.gz,
1,1,402738,Kleb,20180104,5,,,402738-10_S15_L001_R2_001_val_2.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC05.fastq.gz,
2,2,402859,Kleb,20180123,7,20180420,2.0,402859-10_S17_L001_R1_001_val_1.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC07.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC02.fastq.gz
3,2,402859,Kleb,20180123,7,20180420,2.0,402859-10_S17_L001_R2_001_val_2.fq.gz,nanopore/20180123_Carbapenemases/porechop/BC07.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC02.fastq.gz
4,4,400793,Kleb,20180104,7,,,400793-11_S18_L001_R1_001_val_1.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC07.fastq.gz,
5,4,400793,Kleb,20180104,7,,,400793-11_S18_L001_R2_001_val_2.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC07.fastq.gz,
6,5,704984,Kleb,20180104,8,,,704984-11_S19_L001_R1_001_val_1.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC08.fastq.gz,
7,5,704984,Kleb,20180104,8,,,704984-11_S19_L001_R2_001_val_2.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC08.fastq.gz,
8,6,501326,Kleb,20180104,9,,,501326-11_S20_L001_R1_001_val_1.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC09.fastq.gz,
9,6,501326,Kleb,20180104,9,,,501326-11_S20_L001_R2_001_val_2.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC09.fastq.gz,
10,10,403420,Kleb,20180104,12,,,403420-17_S24_L001_R1_001_val_1.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC12.fastq.gz,
11,10,403420,Kleb,20180104,12,,,403420-17_S24_L001_R2_001_val_2.fq.gz,nanopore/20180104_Carbapenemases/porechop/BC12.fastq.gz,
12,11,503397,Kleb,20180110,1,20180420,3.0,503397-12_S20_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC01.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC03.fastq.gz
13,11,503397,Kleb,20180110,1,20180420,3.0,503397-12_S20_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC01.fastq.gz,nanopore/20180420_Carbapenemases/porechop/BC03.fastq.gz
14,16,401075,Kleb,20180110,2,,,401075-12_S23_L001_R1_001_val_1.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC02.fastq.gz,
15,16,401075,Kleb,20180110,2,,,401075-12_S23_L001_R2_001_val_2.fq.gz,nanopore/20180110_Carbapenemases/porechop/BC02.fastq.gz,
